img_name,mos,std
234.bmp,64.68062827,17.73303761
235.bmp,53.15243902,18.17791909
236.bmp,30.98305085,17.43868302
237.bmp,68.82432432,17.72531002
238.bmp,59.03184713,20.06317598
239.bmp,3.497584541,6.762887299
23.bmp,77.11392405,18.27949137
240.bmp,53.08,19.4925391
241.bmp,59.45,21.33789259
242.bmp,43.88205128,19.785224
243.bmp,34.12345679,17.98645641
244.bmp,56.44508671,19.36172326
245.bmp,10.72727273,11.16088752
246.bmp,52.0304878,19.84338179
247.bmp,74.27218935,19.24241955
248.bmp,74.94936709,19.57634002
249.bmp,73.18478261,18.36064296
24.bmp,35.83597884,25.02678516
250.bmp,50.57458564,22.33460731
251.bmp,61.77717391,17.81045682
252.bmp,39.15432099,17.22614328
253.bmp,46.70792079,23.27809033
254.bmp,48.78,18.83694428
255.bmp,57.24277457,22.01793712
256.bmp,70.32417582,19.02773109
257.bmp,71.79640719,17.39254061
258.bmp,68.36021505,21.59465219
259.bmp,61.61309524,20.64119641
25.bmp,71.9005848,21.54302261
260.bmp,49.09042553,21.30921605
261.bmp,85.21637427,15.57996341
262.bmp,62.28571429,20.86873511
263.bmp,27.15384615,22.45100486
264.bmp,39.01863354,25.02260779
265.bmp,60.15217391,21.02220257
266.bmp,61.79104478,19.95384974
267.bmp,70.74172185,17.70704703
268.bmp,75.6416185,17.65558419
269.bmp,62.07936508,20.79558688
26.bmp,78.61176471,15.58795933
270.bmp,21.57407407,13.98037913
271.bmp,83.0617284,15.2851535
272.bmp,44.3989071,19.8386181
273.bmp,65.32544379,19.45157305
274.bmp,50.18823529,21.86347857
275.bmp,47.0273224,25.04072105
276.bmp,71.63580247,20.8570277
277.bmp,68.41071429,18.86933652
278.bmp,28.10416667,16.68242274
279.bmp,70.64497041,19.00731348
27.bmp,63.28930818,23.57545009
280.bmp,34.09497207,19.01941431
281.bmp,43.57058824,20.77089067
282.bmp,45.71038251,21.85336375
283.bmp,20.16842105,16.18586007
284.bmp,66.91489362,26.15775243
285.bmp,56.07650273,19.18603673
286.bmp,40.74137931,20.73858235
287.bmp,30.91160221,18.43104049
288.bmp,47.79768786,18.89412347
289.bmp,43.45833333,19.6715102
28.bmp,61.01351351,21.19747979
290.bmp,35.8125,18.37184375
291.bmp,30.91666667,24.24733251
292.bmp,43.546875,23.31680046
293.bmp,40.67231638,21.04526971
294.bmp,12.83435583,17.63423431
295.bmp,72.4691358,20.45178327
296.bmp,38.37931034,19.89698405
297.bmp,27.0718232,17.63709259
298.bmp,49.63681592,24.35513165
299.bmp,56.39664804,20.72137771
29.bmp,38.5060241,19.08664359
300.bmp,41.25966851,24.68566786
301.bmp,74.7877095,18.06448079
302.bmp,63.90849673,21.14186402
303.bmp,51.13772455,21.37894363
304.bmp,87.3655914,13.57285442
305.bmp,67.19886364,20.52483371
306.bmp,51.17326733,19.85756941
307.bmp,13.71938776,15.06321148
308.bmp,44.92934783,23.52351242
309.bmp,19.37640449,15.09438869
30.bmp,35.10365854,20.94357564
310.bmp,69.67142857,18.48057228
311.bmp,22.65584416,17.78424796
312.bmp,56.67777778,21.42980109
313.bmp,49.24719101,22.0499079
314.bmp,52.79213483,21.83209023
315.bmp,69.93710692,16.62797914
316.bmp,49.3015873,22.46673777
317.bmp,34.26704545,24.4947165
318.bmp,35.16931217,19.06631512
319.bmp,76.29090909,17.49460481
31.bmp,53.55191257,22.75493629
320.bmp,77.07142857,17.90512971
321.bmp,44.26285714,20.0154981
322.bmp,53.47938144,21.54215262
323.bmp,65.3908046,21.21203515
324.bmp,77.92682927,17.38363979
325.bmp,52.35393258,20.56609879
326.bmp,46.90769231,18.9908196
327.bmp,58.42045455,19.67665569
328.bmp,82.53939394,16.90161522
329.bmp,6.393442623,12.48068224
32.bmp,68.78888889,18.44998944
330.bmp,67.72413793,18.36948315
331.bmp,67.18888889,18.98832011
332.bmp,80.59064327,16.96628925
333.bmp,51.09289617,20.33799843
334.bmp,58.38974359,22.53592544
335.bmp,43.86390533,23.44749324
336.bmp,47.37912088,23.04725396
337.bmp,11.76047904,14.27155296
338.bmp,86.60215054,14.91608222
339.bmp,62.31764706,22.8145141
33.bmp,51.55232558,23.42794466
340.bmp,27.96226415,16.90026095
341.bmp,8.932960894,10.2363078
342.bmp,67.68681319,18.79360835
343.bmp,66.8625,19.18578073
344.bmp,79.80225989,16.91692252
345.bmp,41.33854167,19.26543643
346.bmp,58.91666667,19.5474471
347.bmp,58.65217391,21.50966668
348.bmp,30.53763441,16.20881251
349.bmp,69.28333333,19.26419523
34.bmp,34.25543478,20.23023147
350.bmp,58.65517241,18.79471679
351.bmp,71.02857143,17.82366649
352.bmp,52.03061224,19.77045404
353.bmp,68.09944751,19.10180474
354.bmp,52.68246445,18.69169985
355.bmp,76.27624309,17.35482447
356.bmp,43.20245399,19.7740819
357.bmp,64.55248619,22.31426442
358.bmp,50.66847826,20.5001369
359.bmp,62.92352941,20.23384093
35.bmp,34.37988827,21.64864575
360.bmp,24.97093023,17.30477652
361.bmp,67.38150289,19.48864022
362.bmp,44.5620438,20.35561106
363.bmp,36.52147239,20.95301547
364.bmp,23.16489362,19.28950399
365.bmp,43.88268156,24.36687477
366.bmp,53.86631016,22.96088981
367.bmp,50.13541667,21.07534218
368.bmp,52.92168675,20.60273326
369.bmp,43.32919255,19.54283001
36.bmp,57.37724551,22.56466391
370.bmp,28.34394904,18.57200588
371.bmp,66.57803468,21.89353156
372.bmp,68.03208556,20.40474954
373.bmp,59.6281407,19.73082529
374.bmp,43.18716578,19.41959563
375.bmp,24.03012048,16.3408485
376.bmp,23.21348315,14.86851746
377.bmp,74.20571429,16.6150801
378.bmp,71.50625,17.29943354
379.bmp,61.31666667,18.14481627
37.bmp,64.61818182,19.9078587
380.bmp,79.11363636,16.71641234
381.bmp,63.7606383,20.69103357
382.bmp,82.11111111,14.57275706
383.bmp,69.70285714,18.62030602
384.bmp,35.03797468,17.88102438
385.bmp,56.61363636,20.66048364
386.bmp,40.72727273,19.39507404
387.bmp,74.01840491,20.80404531
388.bmp,58.37647059,22.22423458
389.bmp,64.44827586,19.93646476
38.bmp,30.15053763,19.2510842
390.bmp,59.00574713,19.41350973
391.bmp,82.77540107,15.0061935
392.bmp,81.8404908,17.76073015
393.bmp,69.75609756,18.65446934
394.bmp,48.54736842,20.67192377
395.bmp,53.83333333,20.82849313
396.bmp,68.14851485,19.32538152
397.bmp,51.66470588,21.34610371
398.bmp,36.89570552,18.1143874
399.bmp,65.921875,20.37062716
39.bmp,73.27932961,21.70072664
3.bmp,44.44612191,20.26681857
400.bmp,58.6402439,20.33428825
401.bmp,54.4047619,22.03922418
402.bmp,76.84563758,16.83333438
403.bmp,71.25714286,17.39458044
404.bmp,76.09659091,18.01512982
405.bmp,38.12345679,23.62695729
406.bmp,79.7025641,17.03010505
407.bmp,55.46153846,19.89365007
408.bmp,33.14035088,18.47201884
409.bmp,67.59649123,20.1916054
40.bmp,34.09770115,19.43052528
410.bmp,58.3045977,21.67799773
411.bmp,17.95698925,13.89101516
412.bmp,56.43421053,22.84722397
413.bmp,33.01149425,19.02538265
414.bmp,45.8622449,25.12586578
415.bmp,16.90419162,18.06522104
416.bmp,79.76756757,18.49133249
417.bmp,72.09340659,18.79981957
418.bmp,66.92090395,23.465266
419.bmp,71.89784946,19.00825697
41.bmp,59.66486486,20.68096447
420.bmp,55.99492386,20.02001485
421.bmp,74.16564417,16.60777142
422.bmp,62.25139665,19.92847987
423.bmp,71.56441718,22.38772724
424.bmp,59.48128342,19.18818584
425.bmp,64.16959064,21.01065302
426.bmp,67.4011976,20.61992833
427.bmp,52.68617021,20.00086683
428.bmp,37.91477273,22.58592755
429.bmp,13.00568182,13.5838127
42.bmp,63.33519553,20.79405277
430.bmp,62.61497326,19.06472818
431.bmp,46.41573034,17.31026865
432.bmp,61.94791667,21.69438839
433.bmp,34.49685535,18.2110949
434.bmp,58.76219512,17.47385876
435.bmp,49.87974684,22.44522209
436.bmp,57.38125,19.01732804
437.bmp,65.19892473,21.78390675
438.bmp,57.33333333,21.4969218
439.bmp,18.9382716,15.1934488
43.bmp,18.47770701,15.40795082
440.bmp,60.21081081,20.53877277
441.bmp,65.83832335,19.95697703
442.bmp,71.05641026,19.08369784
443.bmp,17.00555556,17.44568498
444.bmp,83.17708333,15.99966936
445.bmp,47.24352332,20.42970091
446.bmp,13.12568306,15.60116037
447.bmp,25.33146067,17.99017997
448.bmp,61.53846154,19.66215444
449.bmp,41.1,15.60558616
44.bmp,72.03921569,20.01771661
450.bmp,63.19631902,19.48182404
451.bmp,69.38690476,18.95406537
452.bmp,62.46486486,17.27432463
453.bmp,38.19148936,20.46871963
454.bmp,46.85889571,24.08572071
455.bmp,75.57653061,19.74632092
456.bmp,79.08,17.90745613
457.bmp,44.44711538,17.77440736
458.bmp,7.688118812,11.02673176
459.bmp,77.20118343,15.27547828
45.bmp,56.0952381,22.82378161
460.bmp,6.043269231,10.7529595
461.bmp,75.77987421,21.13418486
462.bmp,65.53254438,22.56657756
463.bmp,72.92307692,20.77755417
464.bmp,55.7752809,22.92890156
465.bmp,69.20689655,19.66078691
466.bmp,76.40909091,16.74490037
467.bmp,57.64444444,22.67196783
468.bmp,7.369565217,12.29840044
469.bmp,58.54666667,21.84527245
46.bmp,15.22012579,12.12834727
470.bmp,59.40963855,20.08348403
471.bmp,50.13953488,20.51367411
472.bmp,53.77987421,23.62300097
473.bmp,65.1744186,17.94839377
474.bmp,22.54545455,17.77825972
475.bmp,64.08888889,21.93598836
476.bmp,54.16230366,19.90291814
477.bmp,75.52222222,18.97968792
478.bmp,60.01086957,19.67828381
479.bmp,66.01449275,20.84885
47.bmp,49.5,20.09438805
480.bmp,52.7797619,20.5841127
481.bmp,50.09289617,20.32016007
482.bmp,51.83068783,20.6524665
483.bmp,45.2027027,20.08890426
484.bmp,67.7826087,17.56939656
485.bmp,53.86010363,22.21242412
486.bmp,70.75568182,18.7004193
487.bmp,62.34502924,21.81157859
488.bmp,57.46470588,20.38886577
489.bmp,12.93296089,17.18491557
48.bmp,81.34482759,19.04350212
490.bmp,67.61691542,19.45835328
491.bmp,56.47727273,21.46757144
492.bmp,62.80628272,19.86690351
493.bmp,27.53932584,16.75989036
494.bmp,85.2173913,14.7494473
495.bmp,57.09756098,21.80088913
496.bmp,65.50314465,21.50474608
497.bmp,32.56111111,17.15592765
498.bmp,35.64197531,19.91398188
499.bmp,80.86338798,17.16973838
49.bmp,51.89944134,19.47198938
4.bmp,31.97831416,18.27200547
500.bmp,68.4527027,18.06049338
501.bmp,37.86363636,20.93155202
502.bmp,71.48275862,18.24772506
503.bmp,27.20467836,15.78715715
504.bmp,56.18562874,18.55620662
505.bmp,63.09036145,18.54227677
506.bmp,73.07526882,20.57956822
507.bmp,78.80368098,15.74168756
508.bmp,63.07142857,24.22266258
509.bmp,40.48571429,20.147119
50.bmp,62.13793103,22.14934721
510.bmp,78.62874251,17.62681795
511.bmp,27.84153005,17.88553415
512.bmp,43.28143713,18.79018144
513.bmp,70.37037037,18.29804622
514.bmp,75.6875,16.88140355
515.bmp,76.23717949,17.15925864
516.bmp,52.42934783,20.97319152
517.bmp,38.23529412,17.91161219
518.bmp,59.42105263,20.64057743
519.bmp,62.56613757,19.16341029
51.bmp,82.28292683,17.61733636
520.bmp,59.00518135,21.53400833
521.bmp,52.01098901,19.70584483
522.bmp,64.79041916,19.15970682
523.bmp,17.975,14.71792996
524.bmp,48.27329193,23.66695681
525.bmp,78.81935484,14.56132173
526.bmp,67.12834225,18.5902217
527.bmp,71.88235294,21.10324676
528.bmp,70.04819277,19.41127671
529.bmp,50.59235669,24.89747063
52.bmp,69.57894737,18.3445776
530.bmp,14.17816092,15.84525549
531.bmp,59.47540984,23.48645148
532.bmp,27.69822485,16.5359654
53.bmp,42.79503106,19.23347278
54.bmp,20.34939759,15.27877017
55.bmp,83.28342246,15.88229193
56.bmp,10.66857143,11.60528445
57.bmp,61.55769231,18.78820508
58.bmp,7.5,11.41100588
59.bmp,44.73076923,26.21624983
5.bmp,62.25618274,21.48671409
60.bmp,74.18333333,18.48099583
61.bmp,37.75625,16.74400179
62.bmp,54.45945946,22.02147494
63.bmp,72.8700565,21.14694413
64.bmp,41.86075949,18.15273781
65.bmp,60.52284264,23.47633928
66.bmp,47.88333333,21.0724409
67.bmp,64.79896907,20.76205684
68.bmp,39.80473373,17.20024851
69.bmp,40.39204545,19.83272172
6.bmp,51.87195927,21.39278999
70.bmp,58.2160804,20.94674688
71.bmp,48.62569832,20.56722627
72.bmp,65.11111111,23.66956796
73.bmp,81.12578616,17.17952201
74.bmp,57.40268456,20.07685216
75.bmp,56.24590164,25.46468514
76.bmp,76.09467456,19.17253821
77.bmp,71.52147239,19.89271764
78.bmp,69.64705882,19.58942905
79.bmp,54.421875,20.36690007
7.bmp,4.937823834,9.353935749
80.bmp,56.42682927,18.65280484
81.bmp,30.14553991,19.49267984
82.bmp,36.15333333,18.48407138
83.bmp,55.25945946,20.2537632
84.bmp,56.10650888,20.02945492
85.bmp,68.60240964,18.52398266
86.bmp,50.12195122,22.06787646
87.bmp,40.87096774,22.05826477
88.bmp,72.31351351,18.49468434
89.bmp,32.10326087,18.48630242
8.bmp,42.41212121,19.04391199
90.bmp,37.04878049,20.29772415
91.bmp,66.61666667,19.68843207
92.bmp,64.82035928,22.2104679
93.bmp,39.8,18.76855604
94.bmp,66.0959596,17.81990799
95.bmp,75.32941176,18.22371706
96.bmp,63.07526882,26.32694091
97.bmp,56.35555556,19.33434788
98.bmp,71.76923077,18.99812021
99.bmp,11.72580645,12.85785408
9.bmp,77.90347563,19.30230081
533.JPG,73.62352941,20.4015758
534.JPG,52.70967742,22.79353056
535.JPG,29.5026738,15.6978782
536.JPG,40.39664804,20.15429778
537.JPG,63.14754098,20.49537825
538.JPG,62.53012048,21.07322722
539.JPG,64.11801242,20.47571088
540.JPG,35.55172414,27.10235731
541.JPG,52.55191257,24.73943962
542.JPG,51.90055249,25.07612963
543.JPG,68.05555556,19.49780528
544.JPG,59.98974359,21.43751162
545.JPG,60.75,22.29836637
546.JPG,78.53012048,16.89348976
547.JPG,21.23560209,16.52309355
548.JPG,69.47979798,21.12849487
549.JPG,65.42941176,17.99797045
550.JPG,25.90643275,16.61014979
551.JPG,77.28804348,17.99297581
552.JPG,61.09271523,19.19143941
553.JPG,78.80813953,17.18061409
554.JPG,65.06965174,20.18105855
555.JPG,78.67894737,17.52147825
556.JPG,70.20555556,20.61395558
557.JPG,65.26344086,21.16780975
558.JPG,44.41290323,18.14007084
559.JPG,72.85093168,20.22195935
560.JPG,48.69948187,21.49086167
561.JPG,45.41764706,20.43771706
562.JPG,50.25945946,22.02019157
563.JPG,65.88953488,18.34352208
564.JPG,35.27272727,19.72132339
565.JPG,21.80110497,16.12018055
566.JPG,74.33939394,18.40085396
567.JPG,61.16666667,19.08993101
568.JPG,67.97814208,15.63876428
569.JPG,72.10493827,18.43963057
570.JPG,43.11891892,19.77006188
571.JPG,73.48557692,20.46936638
572.JPG,29.58285714,18.78317732
573.JPG,47.32460733,19.47466294
574.JPG,52.73780488,20.42248935
575.JPG,75.18232044,18.06146657
576.JPG,80.36180905,17.24393463
577.JPG,76.11827957,17.78085789
578.JPG,78.10382514,17.80125741
579.JPG,68.42105263,18.77208238
580.JPG,63.58064516,20.94178421
581.JPG,41.6809816,16.9296677
582.JPG,65.55113636,22.90221945
583.JPG,58.39534884,21.04563633
584.JPG,80.93641618,15.5470592
585.JPG,60.01604278,21.31748637
586.JPG,57.01136364,19.37862995
587.JPG,66.69590643,17.58411501
588.JPG,67.52352941,20.51935237
589.JPG,81.47027027,17.02365466
590.JPG,84.81382979,14.25709019
591.JPG,78.13612565,17.20839158
592.JPG,57.85492228,21.40919996
593.JPG,73.06875,21.54857665
594.JPG,68.80864198,18.72704689
595.JPG,8.203389831,11.19676241
596.JPG,49.40828402,19.87263439
597.JPG,63.04761905,19.9300602
598.JPG,45.30319149,24.59138996
599.JPG,56.19337017,21.38486381
600.JPG,48.51572327,21.25816458
601.JPG,60.94623656,19.42684996
602.JPG,42.76506024,20.80323945
603.JPG,66.68156425,19.96807131
604.JPG,74.62893082,18.16086816
605.JPG,50.95081967,20.0450807
606.JPG,31.49740933,18.47298826
607.JPG,48.28421053,23.84880202
608.JPG,59.98837209,22.29677248
609.JPG,65.455,21.55390519
610.JPG,65.49342105,21.27866099
611.JPG,38.48947368,21.0858009
612.JPG,71.00568182,19.50047535
613.JPG,53.30188679,22.7965006
614.JPG,58.15819209,20.59313249
615.JPG,40.12834225,21.3373971
616.JPG,81.83815029,14.81621288
617.JPG,79.83333333,15.13787709
618.JPG,74.90697674,18.86680175
619.JPG,42.33529412,21.55739391
620.JPG,48.85628743,24.75671394
621.JPG,69.87765957,20.15158944
622.JPG,78.33333333,17.38091882
623.JPG,45.80813953,21.43651972
624.JPG,71.16574586,21.04083696
625.JPG,61.49473684,25.34601758
626.JPG,32.3220339,21.46702599
627.JPG,50.58709677,25.39193734
628.JPG,31.77027027,16.05860635
629.JPG,46.46590909,18.64614789
630.JPG,55.99390244,21.81334565
631.JPG,70.65803109,19.74781502
632.JPG,21.14285714,15.63787118
633.JPG,26.20224719,17.07489635
634.JPG,16.13450292,15.79834437
635.JPG,63.76243094,20.49400787
636.JPG,64.51807229,20.00718746
637.JPG,31.45578231,17.25999067
638.JPG,49.64052288,20.71028678
639.JPG,43.95973154,22.11514071
640.JPG,43.53846154,21.09248343
641.JPG,45.50909091,19.54501314
642.JPG,49.17142857,20.93488223
643.JPG,73.94554455,19.14027831
644.JPG,35.37931034,23.85105098
645.JPG,43.01935484,28.59285874
646.JPG,59.36464088,19.37809957
647.JPG,66.99447514,23.3505882
648.JPG,27.83888889,16.37724402
649.JPG,53.77575758,21.7121837
650.JPG,71.36363636,18.56306784
651.JPG,30.7247191,19.92237921
652.JPG,6.520710059,11.88741269
653.JPG,15.64739884,14.84326864
654.JPG,71.80136986,19.96501073
655.JPG,12.56287425,16.10490643
656.JPG,54.19371728,19.48600476
657.JPG,16.60126582,14.96447593
658.JPG,77.07865169,17.87162301
659.JPG,19.49152542,15.52348611
660.JPG,63.54320988,21.31779613
661.JPG,19.80357143,21.12303817
662.JPG,19.55367232,20.0968875
663.JPG,23.05847953,21.05391052
664.JPG,52.13855422,21.85625398
665.JPG,60.04320988,23.50270204
666.JPG,15.58282209,13.51670934
667.JPG,55.03157895,21.21866635
668.JPG,9.208333333,12.98603089
669.JPG,9.827586207,12.42569303
670.JPG,34.94413408,18.28172805
671.JPG,6.224242424,13.59579899
672.JPG,9.909677419,12.28787162
673.JPG,3.42,6.75582771
674.JPG,68.11167513,19.36564694
675.JPG,38.18435754,22.56612209
676.JPG,14.96236559,14.55664361
677.JPG,8.477777778,11.51120686
678.JPG,4.865030675,10.02990303
679.JPG,7.078534031,11.17511851
680.JPG,10.44186047,18.16339398
681.JPG,18.59615385,16.21564774
682.JPG,40.07471264,19.92239695
683.JPG,37.33898305,18.56831077
684.JPG,27.85340314,15.93934148
685.JPG,60.09756098,18.78428383
686.JPG,29.47567568,18.19820532
687.JPG,49.12727273,25.58776471
688.JPG,66.79032258,20.96107365
689.JPG,12.55621302,12.41296269
690.JPG,77.82758621,16.08870299
691.JPG,37.25396825,16.0633403
692.JPG,25.23783784,17.99992982
693.JPG,43.7027027,20.97956877
694.JPG,9.738853503,13.47702056
695.JPG,27.66081871,17.31309051
696.JPG,30.1626506,19.95549722
697.JPG,48.02,24.40383856
698.JPG,4.846153846,8.957515648
699.JPG,77.74594595,17.9805238
700.JPG,5.277777778,7.63697997
701.JPG,17.4875,20.3076921
702.JPG,4.343915344,13.05280713
703.JPG,19.17368421,18.56680608
704.JPG,17.02298851,16.27969196
705.JPG,48.20454545,24.39421903
706.JPG,45.56896552,21.53699229
707.JPG,18.00606061,15.62303528
708.JPG,72.44382022,18.95816658
709.JPG,61.93292683,21.32803423
710.JPG,53.83060109,20.80993907
711.JPG,57.92613636,23.14698867
712.JPG,86.34693878,15.41002141
713.JPG,46.41340782,22.33596986
714.JPG,31.83333333,19.71304901
715.JPG,88.34078212,13.87468236
716.JPG,90.24468085,13.32256031
717.JPG,66.53703704,20.09886709
718.JPG,46.42408377,21.87195383
719.JPG,82.61290323,15.56694262
720.JPG,62.10880829,21.80986911
721.JPG,80.6993865,19.18819563
722.JPG,27.96410256,16.49535216
723.JPG,23.53846154,15.81063536
724.JPG,30.73714286,20.75249723
725.JPG,36.96296296,16.99354395
726.JPG,45.52380952,21.31063449
727.JPG,31.5,17.95444132
728.JPG,83.47976879,15.66012177
729.JPG,77.48663102,18.64823157
730.JPG,46.875,23.34942642
731.JPG,45.33519553,21.30172334
732.JPG,23.64673913,18.10353316
733.JPG,19.6440678,17.48482723
734.JPG,4.308139535,8.263450352
735.JPG,54.42592593,24.53513277
736.JPG,76.9039548,19.41024905
737.JPG,43.98648649,24.71827286
738.JPG,69.42328042,21.15169848
739.JPG,83.92121212,15.05720307
740.JPG,69.28651685,20.31925802
741.JPG,59.82911392,23.34133128
742.JPG,5.658682635,10.84989171
743.JPG,72.95212766,18.52885727
744.JPG,69.4,19.19813932
745.JPG,69.53374233,20.28296196
746.JPG,76.98445596,19.04558038
747.JPG,64.5027933,19.10978757
748.JPG,79.50292398,17.66064894
749.JPG,81.58522727,17.14154879
750.JPG,57.52542373,23.35668772
751.JPG,25.77380952,21.1132397
752.JPG,60.63013699,24.75953698
753.JPG,83.8452381,16.36228616
754.JPG,44.14285714,23.84031699
755.JPG,64.96195652,20.54300217
756.JPG,87.37106918,13.34856625
757.JPG,65.60326087,21.46646107
758.JPG,76.21787709,18.9399558
759.JPG,75.47093023,17.60164377
760.JPG,48.16766467,21.23978215
761.JPG,72.92105263,19.425317
762.JPG,74.39751553,18.93484866
763.JPG,65.47959184,21.13071872
764.JPG,77.17837838,17.43327552
765.JPG,82.07344633,16.47071182
766.JPG,76.25628141,18.61572183
767.JPG,85.52409639,16.82952017
768.JPG,83.41573034,15.30725539
769.JPG,80.33333333,15.35720944
770.JPG,87.58201058,13.10838185
771.JPG,73.54010695,19.61407893
772.JPG,12.79640719,13.71637792
773.JPG,82.56321839,17.0397028
774.JPG,84.78061224,14.87651157
775.JPG,83.62130178,14.39489065
776.JPG,91.07804878,12.29872288
777.JPG,78.02439024,18.78223649
778.JPG,81.55214724,16.57201023
779.JPG,80.93406593,17.93530559
780.JPG,92.43195266,12.03800219
781.JPG,88.91758242,11.57959811
782.JPG,49.65116279,20.83309751
